Student ID,Name,Verified Python Score,Verified SQL Score,Verified ML Score,Communication Score,Aptitude Score,Project Count,Internship Count,CGPA
61,Xavier Rodriguez,65,92,62,58,61,4,0,5.9
62,Nina Rodriguez,40,86,73,81,97,0,3,9.7
63,Mike White,40,55,78,54,71,4,2,5.2
64,Hannah Miller,65,55,90,86,71,0,0,5.6
65,Quinn Martinez,44,86,88,79,95,5,3,5.9
66,Charlie Johnson,55,65,65,97,70,3,0,7.3
67,Diana Miller,76,62,97,59,54,3,1,6.3
68,Uma Wilson,49,97,58,81,50,4,0,5.8
69,Zack Martin,63,55,94,51,98,3,3,8.2
70,Tina Brown,59,63,51,99,84,3,0,7.3
71,Mike Harris,90,82,76,61,52,0,0,8.3
72,Tina Garcia,82,83,68,62,61,5,1,5.2
73,Quinn Anderson,89,74,62,66,75,4,1,8.4
74,Rachel Smith,73,90,80,56,53,1,0,6.7
75,Victor Davis,50,68,95,85,74,4,0,6.4
76,Victor Clark,49,76,48,73,84,0,2,7.1
77,Yara Anderson,57,88,78,81,73,5,3,9.3
78,Yara Jackson,88,94,52,72,74,2,0,6.9
79,Diana Thomas,88,59,87,74,71,4,2,5.5
80,Nina Wilson,75,51,80,68,61,0,2,9.8
81,Oscar Smith,70,91,58,96,65,4,0,6.5
82,Xavier Anderson,64,91,98,70,85,4,2,8.9
83,Quinn Wilson,78,84,92,91,88,5,2,5.3
84,Quinn Davis,74,62,68,92,60,1,2,5.7
85,Uma Thomas,49,97,83,66,87,5,0,6.1
86,Uma Robinson,48,89,66,51,54,4,0,6.2
87,Tina Moore,47,87,84,50,71,3,0,9.7
88,Evan White,64,84,43,85,55,3,2,7.4
89,Yara Wilson,83,93,78,76,59,1,2,5.6
90,Rachel Robinson,42,84,52,99,77,5,1,8.7
91,Alice Lewis,47,80,78,50,52,4,3,9.8
92,Kevin Martinez,99,88,64,82,87,4,1,9.0
93,Alice Davis,84,71,84,96,70,5,0,10.0
94,Laura Thomas,76,75,74,68,69,0,1,5.8
95,Hannah Johnson,88,53,54,80,50,4,1,7.9
96,Hannah Rodriguez,55,62,96,60,61,1,3,5.3
97,Charlie Brown,77,51,63,77,57,1,3,8.2
98,Xavier Martinez,47,97,99,99,77,3,0,9.9
99,Charlie Clark,66,93,56,58,82,4,3,8.0
100,Yara Miller,87,68,52,95,84,4,1,9.7
101,Evan Martinez,44,86,64,51,59,5,1,7.8
102,Rachel Wilson,44,94,95,82,50,1,3,9.9
103,Ian Robinson,50,60,65,74,71,2,2,7.8
104,Tina Martin,72,73,80,84,50,4,3,5.4
105,George Clark,67,56,44,80,54,5,2,7.8
106,Yara Moore,76,92,76,59,59,2,0,6.2
107,Wendy Thomas,48,85,40,94,62,3,1,9.4
108,Mike White,79,71,73,77,80,1,1,7.6
109,Oscar Robinson,93,42,98,99,61,0,1,9.8
110,Oscar Davis,69,69,98,66,97,4,0,8.2
111,Hannah Taylor,50,90,78,87,83,5,1,7.9
112,Charlie Jackson,69,54,66,83,87,0,3,9.6
113,Alice Rodriguez,69,94,81,66,54,4,3,7.3
114,Rachel Taylor,56,49,56,69,73,4,1,8.1
115,Sam Taylor,41,52,82,92,97,2,2,7.7
116,Alice Brown,62,94,55,80,60,5,3,8.2
117,Wendy Johnson,79,43,95,74,52,2,2,8.3
118,Hannah Brown,89,97,90,68,70,4,1,6.4
119,Bob Jackson,61,60,45,50,54,0,3,6.0
120,Charlie Robinson,73,88,53,75,94,2,0,5.5
121,Hannah Anderson,86,96,61,96,79,2,2,6.9
122,Victor Martinez,56,65,75,50,57,0,2,5.9
123,George Clark,54,86,95,71,63,1,3,6.8
124,Evan Rodriguez,63,41,84,75,63,2,3,5.7
125,Sam Martinez,42,86,62,95,92,3,0,9.3
126,Hannah Martinez,77,74,90,64,74,4,3,5.1
127,Zack Martin,96,56,78,71,75,5,3,6.2
128,George Davis,52,59,64,53,59,2,0,7.5
129,Diana Martin,86,75,86,71,83,0,3,5.6
130,Laura Martin,80,76,45,75,83,2,3,7.5
131,Nina Garcia,45,76,96,82,71,4,1,6.8
132,Xavier Johnson,87,43,69,60,79,0,2,5.3
133,Victor Davis,70,79,76,85,73,5,1,7.9
134,Bob Harris,50,43,54,55,98,5,3,8.6
135,Xavier Jackson,96,41,54,60,57,1,2,9.2
136,Zack Davis,44,45,65,53,68,3,0,8.7
137,Hannah Moore,51,86,40,75,63,5,0,7.5
138,George Clark,75,52,82,52,82,5,1,7.3
139,Oscar Miller,44,62,49,93,51,4,3,9.0
140,Nina Wilson,40,76,48,66,58,2,2,7.4
141,Ian Garcia,94,74,69,80,98,4,1,8.7
142,Hannah Brown,89,53,92,60,58,1,3,6.9
143,Oscar Clark,40,79,61,78,57,2,0,8.8
144,Diana Johnson,99,69,74,70,86,4,2,8.3
145,Uma Clark,65,43,64,94,91,0,1,9.1
146,Alice Brown,78,79,53,81,87,0,2,7.2
147,Yara Taylor,72,64,56,82,96,1,1,5.3
148,Fiona Martin,79,90,78,55,55,2,2,8.7
149,Paul Martinez,81,91,54,96,78,0,3,8.7
150,George Harris,66,75,68,87,82,4,0,8.9
151,Bob Wilson,72,43,61,51,59,4,2,8.8
152,Mike Smith,93,77,52,80,96,3,0,5.6
153,Mike Anderson,95,54,68,57,54,4,2,7.0
154,Zack Garcia,84,41,66,80,85,3,1,6.3
155,Jane Martin,44,59,50,59,89,5,1,7.0
156,Wendy Clark,86,65,85,92,61,1,0,5.7
157,Victor Martinez,57,64,72,96,89,3,2,9.7
158,Evan Moore,75,87,43,54,86,1,0,7.9
159,Jane Moore,97,48,93,78,63,0,1,9.6
160,Bob Rodriguez,40,85,76,70,75,5,3,5.6
161,Xavier Clark,96,40,93,89,64,4,2,5.3
162,Bob Jackson,48,49,91,75,90,2,2,7.1
163,Bob Johnson,65,50,77,51,56,1,2,8.7
164,Sam Martinez,56,82,98,93,73,0,2,5.8
165,Quinn Robinson,92,63,72,98,78,2,1,6.1
166,Fiona Johnson,89,60,88,56,66,3,0,5.7
167,Quinn Brown,93,61,67,89,98,0,3,5.3
168,Fiona Brown,62,90,98,68,81,5,0,8.1
169,Tina Brown,68,69,55,89,68,1,0,8.9
170,Victor Taylor,86,89,41,77,98,1,1,7.8
171,Mike Davis,43,40,47,78,88,2,3,6.4
172,Sam Taylor,58,85,73,82,72,3,3,8.6
173,Sam Lewis,68,47,40,52,73,2,2,5.1
174,Bob Lewis,93,96,86,86,52,2,0,7.8
175,Charlie Martin,47,73,74,81,73,5,3,9.3
176,Victor Rodriguez,82,55,43,86,70,5,2,6.6
177,Sam Robinson,57,46,49,56,82,4,2,5.6
178,Kevin Anderson,58,75,68,67,51,0,2,8.1
179,George Jackson,50,81,41,52,72,3,3,8.1
180,Hannah Anderson,77,69,48,83,93,2,3,9.9
181,Mike Miller,83,63,56,59,79,2,1,7.4
182,Victor Thomas,71,56,89,66,63,0,3,8.5
183,Oscar Jackson,64,78,48,71,92,5,3,5.7
184,Yara Brown,68,84,73,72,86,2,1,9.6
185,Alice Garcia,60,81,75,90,87,1,0,7.0
186,Tina Rodriguez,77,97,51,72,91,5,0,6.3
187,Diana Brown,70,45,66,89,83,3,0,8.3
188,Rachel Moore,46,49,84,66,75,4,3,8.9
189,Quinn Anderson,85,41,99,92,50,2,0,8.0
190,Evan White,65,68,60,60,89,2,3,9.6
191,Charlie Taylor,98,78,79,84,83,5,1,8.7
192,Laura Thomas,72,97,75,96,69,2,2,9.2
193,Fiona Garcia,56,98,84,92,83,0,1,7.4
194,Rachel Thomas,48,48,79,66,50,0,0,8.4
195,Tina Robinson,81,64,78,84,52,1,0,5.0
196,Alice Clark,90,69,77,83,61,2,0,5.5
197,Jane Davis,98,88,56,59,98,3,1,9.8
198,Evan Anderson,58,47,70,70,66,4,1,8.2
199,Diana Davis,47,64,57,74,61,2,1,5.3
200,Xavier Clark,65,86,71,59,65,0,2,7.8
201,Evan Anderson,61,97,46,63,64,4,2,6.5
202,Jane Lewis,87,47,89,72,78,1,2,9.3
203,George Jackson,78,74,57,91,88,0,1,8.0
204,George Anderson,74,83,99,94,83,2,0,7.7
205,Quinn Martinez,65,94,62,93,88,0,3,9.0
206,Ian Johnson,64,52,57,82,65,4,1,9.4
207,Charlie Martin,41,94,74,91,83,5,2,9.4
208,Ian Johnson,52,57,71,81,84,2,2,5.0
209,Alice Jackson,68,88,68,93,65,3,2,7.0
210,Yara Miller,69,64,78,69,54,0,1,5.0
211,Uma Anderson,84,53,95,79,99,3,1,6.2
212,Fiona Garcia,64,87,40,95,64,0,2,6.9
213,Rachel Martin,63,43,51,86,86,2,3,7.1
214,Rachel Smith,95,85,63,60,62,1,0,8.7
215,Diana Brown,43,98,47,69,78,5,0,9.2
216,Wendy Miller,85,49,82,83,75,0,0,9.8
217,Rachel Johnson,95,45,44,54,96,0,0,9.6
218,Laura Rodriguez,97,88,98,91,84,1,1,8.5
219,Rachel Miller,63,42,71,84,87,4,3,8.7
220,Nina Miller,64,48,43,63,86,1,2,9.4
221,Bob Thomas,42,98,67,78,58,2,0,9.3
222,Laura Johnson,81,48,54,89,74,4,2,5.4
223,Laura Moore,63,99,54,87,57,2,0,5.2
224,Victor Taylor,57,45,76,97,62,3,0,10.0
225,Victor Davis,89,79,84,81,78,2,1,7.9
226,Laura Clark,79,73,79,76,62,4,0,9.4
227,Nina Lewis,58,55,79,77,82,2,2,5.8
228,Xavier Miller,52,82,84,74,91,3,2,8.5
229,Hannah Wilson,99,46,44,92,94,1,0,5.1
230,Zack Wilson,62,81,49,81,92,4,1,9.5
231,Nina Smith,57,75,41,63,62,4,3,5.0
232,Fiona Jackson,71,52,85,76,98,0,0,5.6
233,Zack Martin,73,99,63,94,84,5,2,8.8
234,Zack Taylor,49,80,71,83,77,3,2,9.7
235,Ian Wilson,68,61,43,69,81,3,1,9.7
236,Zack Davis,56,51,61,66,59,5,0,5.3
237,Mike Johnson,95,98,57,99,63,4,3,8.7
238,Paul Taylor,74,91,51,56,78,2,0,6.6
239,George Garcia,54,71,90,60,72,1,1,6.4
240,Laura Thomas,68,43,56,84,62,0,2,7.6
241,Zack Taylor,68,68,50,81,51,5,3,8.3
242,Hannah Smith,66,42,56,93,77,4,0,9.5
243,Victor Moore,76,98,59,55,68,0,0,9.9
244,Mike Jackson,40,97,99,87,64,1,0,6.0
245,Ian Brown,88,64,63,61,67,3,3,7.7
246,Yara Anderson,99,85,64,66,78,4,3,8.9
247,Laura Robinson,85,89,91,56,52,4,3,6.5
248,Mike Clark,63,99,97,52,69,5,2,7.4
249,Kevin Smith,53,46,56,93,69,3,0,6.0
250,Diana Anderson,96,99,61,51,73,2,3,7.3
251,Fiona Rodriguez,47,60,57,79,67,5,2,8.0
252,Ian Johnson,71,50,84,74,82,3,1,9.5
253,Diana Lewis,50,61,90,73,90,0,3,9.9
254,Nina White,71,54,55,71,77,3,0,7.8
255,Xavier Jackson,71,89,99,82,51,0,0,9.4
256,Nina Lewis,69,72,52,75,71,1,1,7.8
257,Quinn Davis,85,97,89,64,83,1,2,8.4
258,Mike Rodriguez,79,50,42,55,58,5,0,5.3
259,George Anderson,71,80,89,61,57,1,3,9.0
260,Bob Martin,86,98,46,60,69,3,1,9.1
261,Alice Robinson,65,42,80,91,63,2,1,5.3
262,Zack Clark,62,51,52,74,94,2,1,6.6
263,Victor Moore,85,75,84,57,78,4,2,5.2
264,Laura Martin,83,57,45,67,68,5,0,10.0
265,Charlie Jackson,80,98,42,77,59,2,2,6.1
266,Tina Jackson,93,54,72,56,61,0,1,9.8
267,Victor Davis,97,63,59,86,53,3,3,8.8
268,Xavier Thomas,99,63,89,98,81,0,3,5.1
269,Quinn Thomas,73,75,41,64,83,3,1,8.3
270,Victor Martin,90,90,97,61,52,4,1,8.2
271,Kevin Harris,54,72,74,75,57,3,3,8.0
272,Wendy Thomas,81,83,53,63,51,4,0,5.3
273,Rachel Miller,80,93,99,96,63,0,3,8.0
274,George Martin,45,56,98,74,77,1,2,8.3
275,Victor Harris,40,79,51,85,94,2,1,5.4
276,Victor Wilson,53,55,49,78,59,3,1,5.7
277,Tina Rodriguez,44,59,47,92,61,0,0,5.8
278,Jane Harris,59,67,96,92,86,4,3,7.4
279,Rachel Smith,88,95,83,77,96,5,3,7.7
280,Jane Thomas,59,89,53,51,58,4,3,5.3
281,George Martin,40,94,74,55,86,4,2,6.6
282,Zack Rodriguez,88,90,53,61,91,3,0,7.4
283,Tina Jackson,98,82,73,74,99,4,0,7.9
284,Oscar Garcia,95,86,82,99,72,3,1,5.7
285,Oscar Moore,84,91,55,99,91,3,2,5.8
286,Quinn Martinez,60,40,94,57,78,5,0,9.8
287,Zack Wilson,86,73,40,75,92,1,1,7.5
288,Victor Brown,56,65,47,96,89,0,3,5.6
289,Jane Robinson,64,85,43,82,50,2,2,8.3
290,Victor Lewis,92,87,44,90,75,5,3,5.8
291,Kevin Brown,45,48,72,90,74,4,0,5.5
292,Yara Taylor,70,80,50,53,83,4,1,6.6
293,Victor Thomas,77,58,45,83,67,4,0,6.6
294,Hannah Moore,84,50,40,73,56,0,0,6.6
295,Evan Smith,51,97,46,64,70,2,3,7.7
296,Bob Taylor,72,88,71,98,84,3,1,5.4
297,Paul Lewis,74,47,85,63,59,1,1,7.5
298,Yara Brown,60,65,47,97,51,5,3,5.1
299,Oscar Martin,65,64,51,54,83,4,2,7.7
300,Uma Rodriguez,54,82,87,72,55,5,1,8.6
301,George Harris,82,84,60,72,92,4,3,9.8
302,Paul Harris,75,50,90,64,53,4,0,6.8
303,Hannah Miller,73,53,43,97,95,2,0,9.0
304,Uma Smith,74,47,55,91,85,5,1,7.0
305,Yara Davis,52,43,65,74,79,2,2,8.4
306,Yara Martin,49,78,52,80,56,0,1,5.9
307,Hannah Wilson,95,75,59,53,56,5,0,6.9
308,Zack Robinson,84,81,86,62,71,5,0,9.4
309,Oscar Johnson,48,65,48,64,59,1,0,9.2
310,Rachel Taylor,47,63,55,98,75,2,0,6.5
311,Diana Garcia,63,58,75,88,59,0,1,8.8
312,Evan Garcia,49,72,94,99,54,0,2,9.3
313,Victor Robinson,72,94,60,66,71,4,2,6.2
314,Rachel Lewis,46,71,50,59,58,5,0,8.0
315,Kevin Garcia,64,41,74,56,70,1,2,7.2
316,Tina Robinson,78,80,88,60,88,3,1,5.5
317,Nina Clark,65,77,81,81,88,4,1,6.3
318,Oscar Wilson,76,72,75,52,58,0,2,6.7
319,Xavier Martinez,78,43,52,98,51,3,0,5.3
320,Oscar Anderson,71,60,47,87,57,1,2,7.7
321,Yara Taylor,97,42,61,55,51,3,1,6.8
322,Uma Anderson,74,73,62,79,57,5,3,5.4
323,Yara Robinson,44,52,68,80,96,0,2,7.7
324,Paul Taylor,69,96,94,65,61,0,3,8.3
325,Ian Garcia,59,42,55,79,94,3,2,5.8
326,Charlie Thomas,44,59,79,93,50,0,1,7.6
327,Hannah Anderson,45,61,57,57,88,0,0,9.1
328,Kevin Jackson,77,91,73,63,85,0,2,6.3
329,Rachel Brown,41,80,60,51,76,0,0,7.5
330,Evan Miller,42,91,62,75,53,1,2,5.8
331,Hannah Harris,61,82,54,71,86,3,1,7.5
332,Wendy Miller,88,81,77,67,94,2,1,9.4
333,Wendy Moore,69,53,45,52,65,3,1,5.4
334,Charlie Martin,60,74,41,76,51,2,1,9.8
335,Nina Jackson,57,49,64,51,74,4,1,6.6
336,Rachel Garcia,70,53,40,95,65,5,1,5.9
337,Nina Johnson,42,74,80,55,74,4,0,5.6
338,George Martin,60,73,43,74,64,3,0,7.7
339,Mike Rodriguez,71,71,67,62,80,5,3,7.2
340,Wendy Smith,99,45,71,78,92,5,1,8.3
341,Yara Rodriguez,58,70,90,54,68,1,1,6.1
342,Mike Martinez,50,89,70,64,58,2,0,5.7
343,Alice White,48,67,85,56,65,3,0,7.5
344,Jane Harris,78,79,56,86,88,3,3,5.9
345,Nina Clark,75,99,77,88,99,4,3,7.0
346,Xavier Clark,74,46,66,77,71,5,2,8.7
347,Zack Lewis,61,44,94,51,76,4,1,9.0
348,Hannah Martinez,60,49,62,88,54,0,0,5.1
349,Hannah Anderson,89,84,60,67,86,4,3,7.4
350,Nina Martinez,74,88,99,60,70,3,3,5.5
351,Alice Harris,65,43,73,97,67,2,0,8.1
352,Kevin Harris,68,77,81,70,91,4,0,9.8
353,Xavier Wilson,56,95,48,90,50,1,3,5.4
354,Oscar Miller,72,49,89,89,70,3,2,7.5
355,Tina Clark,47,98,61,57,98,0,3,7.3
356,Alice Harris,84,58,44,81,93,0,2,8.4
357,Sam Rodriguez,52,47,96,72,92,0,0,9.0
358,Victor Smith,74,63,56,54,69,4,3,6.8
359,Charlie Martin,85,75,50,64,68,2,3,6.8
360,Evan Garcia,97,44,44,79,81,1,1,5.4
361,Fiona Johnson,87,67,56,80,57,0,0,6.9
362,Ian Harris,89,42,88,85,53,5,0,8.2
363,Kevin Moore,97,94,89,59,70,3,3,7.4
364,Oscar Jackson,41,93,52,81,80,3,1,5.6
365,Kevin Harris,54,56,79,67,58,0,3,7.2
366,Ian Martin,99,97,64,99,71,3,1,9.6
367,Ian Brown,83,71,90,95,98,4,2,8.4
368,Paul Smith,69,94,78,98,61,0,2,6.3
369,Xavier Clark,52,60,47,95,89,5,2,5.9
370,Bob White,71,50,61,71,92,0,1,7.7
371,Hannah Brown,52,57,41,78,70,3,2,9.8
372,Yara Johnson,54,90,62,73,93,4,1,7.7
373,Yara Smith,72,95,42,68,72,4,1,9.4
374,Hannah Moore,86,64,76,96,57,1,1,5.0
375,Alice Lewis,40,83,44,52,50,3,3,6.0
376,Evan Taylor,81,73,82,74,59,4,3,9.1
377,Evan Martinez,66,66,41,90,97,4,0,7.8
378,Victor Davis,61,81,65,61,66,5,1,8.7
379,Sam Moore,92,96,59,60,65,2,2,6.5
380,Oscar Anderson,95,58,76,53,96,4,3,8.6
381,Yara White,63,93,74,75,86,5,0,5.0
382,Fiona Lewis,78,60,49,87,95,3,3,9.0
383,Tina Davis,59,56,94,56,53,4,1,8.6
384,Yara Wilson,76,55,97,53,73,1,1,9.0
385,Jane Davis,70,99,99,68,98,5,2,5.3
386,Sam Smith,84,51,69,87,80,3,3,7.6
387,Jane Rodriguez,84,75,69,98,82,1,2,6.1
388,Victor Harris,98,67,98,96,60,0,3,6.5
389,Mike Moore,72,56,45,53,69,2,2,7.0
390,Charlie Rodriguez,53,99,50,88,58,1,3,6.0
391,Wendy Taylor,91,49,89,52,62,2,0,7.9
392,Diana Thomas,93,84,45,66,94,2,0,5.3
393,Victor Lewis,74,85,65,54,78,4,3,9.0
394,Zack Davis,49,44,75,55,75,3,1,8.6
395,Zack Rodriguez,89,74,40,73,85,5,0,5.8
396,Zack Johnson,99,83,99,80,69,0,3,5.1
397,Laura Clark,63,83,81,79,71,3,2,6.2
398,Nina White,67,53,95,59,65,5,2,7.2
399,Charlie Robinson,52,45,83,58,94,3,3,5.2
400,Uma Jackson,57,97,82,70,53,1,0,8.9
401,Alice Martin,45,54,57,81,60,3,3,7.8
402,Paul Davis,46,60,81,75,93,5,0,7.5
403,Nina White,60,57,44,52,72,1,0,7.8
404,Uma Garcia,58,90,64,70,61,0,0,5.6
405,Wendy Miller,89,92,43,91,56,5,2,7.7
406,Nina Wilson,63,73,67,92,90,5,0,7.7
407,Xavier Robinson,45,85,45,83,50,1,0,5.7
408,Uma Anderson,61,87,96,51,59,1,3,7.1
409,Tina Clark,78,61,51,73,96,5,3,6.8
410,Yara Martinez,74,90,88,81,56,4,3,7.7
411,Oscar Martin,43,85,91,71,64,4,2,9.4
412,Xavier Rodriguez,67,53,66,90,89,1,3,8.9
413,Ian Jackson,41,64,95,52,57,3,0,7.0
414,Hannah Brown,74,45,78,72,74,2,1,5.5
415,Ian Garcia,44,90,50,61,59,3,3,8.8
416,Hannah Garcia,76,60,47,58,96,5,3,7.6
417,Sam Lewis,99,59,45,61,51,2,0,9.5
418,Victor Harris,89,82,79,87,82,3,0,5.2
419,Kevin Smith,47,76,71,97,92,4,3,9.0
420,Paul Jackson,85,93,58,81,58,3,2,7.5
421,Fiona Martinez,55,40,84,70,79,4,1,5.8
422,George White,77,97,70,76,54,0,2,7.6
423,Zack Anderson,64,59,73,75,54,2,0,6.7
424,Kevin Anderson,48,91,77,99,55,2,3,6.6
425,Tina Anderson,50,41,86,93,93,0,0,6.3
426,Rachel Smith,61,42,51,77,79,1,3,8.6
427,Quinn Moore,95,65,72,70,84,3,1,6.7
428,Charlie Taylor,86,57,97,60,72,5,0,9.2
429,Xavier Martin,50,69,54,76,84,0,3,8.7
430,Paul Clark,73,41,74,89,77,5,0,8.3
431,Yara Taylor,40,47,94,72,52,3,1,7.6
432,Wendy Martinez,77,54,60,84,95,3,1,9.5
433,Uma Martinez,56,78,48,84,62,1,2,9.5
434,Oscar Smith,98,66,62,76,83,5,1,6.1
435,Charlie Thomas,92,47,74,68,79,5,2,7.1
436,Hannah Harris,64,79,63,63,75,5,2,5.6
437,Wendy Taylor,96,58,85,52,91,2,0,9.2
438,Jane Rodriguez,84,46,53,58,68,3,1,6.1
439,Laura Martinez,92,75,79,66,79,0,3,7.8
440,Rachel Robinson,91,64,53,60,84,0,2,8.7
441,Laura Martin,80,43,98,53,77,1,0,6.7
442,Xavier Clark,61,80,95,65,78,5,0,6.4
443,Kevin White,51,74,50,95,99,4,2,8.3
444,Wendy Garcia,87,59,76,52,93,0,0,5.5
445,Ian Thomas,48,43,74,66,83,0,3,7.6
446,Ian Taylor,86,79,51,61,95,0,2,9.5
447,Diana Moore,68,61,79,70,87,3,0,8.5
448,Kevin Davis,43,94,46,77,77,3,1,8.9
449,Xavier Clark,42,61,83,51,73,1,2,8.7
450,Yara Wilson,40,47,62,87,55,5,0,5.0
451,George Moore,51,45,65,76,57,2,3,7.3
452,Xavier Martinez,96,68,84,98,84,5,2,7.2
453,Ian Rodriguez,59,95,88,62,87,0,1,5.2
454,Yara Robinson,47,82,59,82,75,4,0,7.9
455,Tina Thomas,81,82,93,90,58,4,0,8.1
456,Diana Moore,63,60,90,88,90,4,3,8.5
457,Jane Taylor,58,50,52,95,94,0,3,7.1
458,Laura Wilson,51,47,47,94,61,4,3,6.5
459,Jane Smith,65,78,67,54,57,0,2,5.0
460,Wendy Clark,69,84,86,72,98,3,1,6.3
461,Evan Anderson,43,69,72,85,67,4,2,8.0
462,Bob Johnson,79,59,88,82,61,1,2,6.8
463,Rachel Thomas,78,41,68,90,59,1,2,8.0
464,Wendy Miller,49,53,57,58,88,3,2,8.6
465,Uma Martinez,66,92,41,78,87,2,3,10.0
466,Diana Smith,41,56,80,61,84,2,0,5.4
467,Sam Thomas,54,65,76,70,98,0,2,9.1
468,Paul Martinez,77,67,60,92,67,3,2,5.4
469,Oscar Jackson,48,92,77,79,93,1,3,9.1
470,Fiona Johnson,67,83,54,90,72,2,3,5.1
471,Ian Martinez,98,96,93,85,82,1,3,5.8
472,Diana Brown,46,43,76,50,50,3,2,5.1
473,Mike Martinez,99,57,67,84,92,2,1,8.0
474,Charlie Rodriguez,88,77,44,57,83,3,3,9.9
475,Uma Johnson,40,70,43,98,94,1,0,6.1
476,Evan Miller,63,98,42,60,94,3,1,5.2
477,Zack Rodriguez,93,82,66,91,99,5,2,5.7
478,Jane Brown,92,69,81,86,86,1,3,6.6
479,Hannah Davis,62,45,43,67,58,0,0,6.4
480,Rachel Martin,86,91,56,94,81,5,3,9.9
481,Tina Lewis,80,88,52,83,94,5,0,9.2
482,Zack Lewis,90,42,81,83,81,4,2,5.9
483,Hannah Robinson,60,85,83,70,93,2,2,7.7
484,Mike Garcia,40,67,63,84,62,1,2,6.0
485,Oscar Thomas,56,74,99,67,89,5,0,9.0
486,Sam Martin,58,76,78,70,57,3,0,7.4
487,Jane Rodriguez,75,93,58,76,83,2,1,7.7
488,Tina Johnson,51,93,60,60,88,3,0,9.0
489,Tina Davis,59,80,85,61,55,0,2,7.3
490,Yara Moore,87,83,83,81,55,1,3,6.4
491,Uma Moore,72,63,62,64,76,2,3,7.5
492,Ian Brown,89,56,90,63,76,1,3,9.1
493,Fiona Taylor,86,43,46,94,84,0,3,9.3
494,Fiona Clark,56,56,88,82,81,2,2,9.4
495,Charlie Wilson,98,44,52,96,95,4,2,8.7
496,Alice Martin,89,71,61,78,71,2,2,8.5
497,Oscar Lewis,81,60,55,61,51,0,3,8.7
